name,manufacturer,year,age,mileage,engine,transmission,price
Renault Captur,Renault,2017,4,38943,Petrol,Manual,10195
Renault Captur,Renault,2014,7,47171,Petrol,Manual,7200
Renault Koleos,Renault,2020,1,8952,Diesel,Automatic,23500
Renault Trafic,Renault,2019,2,8667,Diesel,Manual,19999
Renault Grand Scenic,Renault,2015,6,22750,Diesel,Manual,8990
Renault Scenic,Renault,2017,4,37649,Diesel,Manual,13482
Renault Megane,Renault,2018,3,9369,Petrol,Manual,14995
Renault Megane,Renault,2015,6,36065,Petrol,Manual,15875
Renault Megane,Renault,2019,2,10540,Petrol,Manual,14500
Renault Megane,Renault,2015,6,56952,Diesel,Manual,5980
Renault Megane,Renault,2014,7,76478,Diesel,Manual,5990
Renault Clio,Renault,2019,2,3867,Petrol,Manual,10750
Renault Clio,Renault,2017,4,4628,Petrol,Manual,10500
Renault Clio,Renault,2017,4,17000,Petrol,Manual,9155
Renault Clio,Renault,2018,3,24045,Petrol,Manual,9250
Renault Clio,Renault,2018,3,23294,Diesel,Manual,10000
Renault Clio,Renault,2014,7,50301,Petrol,Manual,5500
Renault Clio,Renault,2018,3,13348,Petrol,Manual,8995
Peugeot 108,Peugeot,2019,2,11438,Petrol,Manual,9250
Peugeot 108,Peugeot,2016,5,23022,Petrol,Manual,7495
Peugeot 108,Peugeot,2017,4,13000,Petrol,Manual,7900
Peugeot 108,Peugeot,2015,6,51222,Petrol,Manual,4950
Peugeot 108,Peugeot,2014,7,13848,Petrol,Semiautomatic,7000
Peugeot 2008,Peugeot,2018,3,21230,Petrol,Manual,11995
Peugeot 2008,Peugeot,2016,5,31050,Diesel,Manual,8795
Peugeot 2008,Peugeot,2020,1,3122,Electric,Automatic,29995
Peugeot 2008,Peugeot,2020,1,1900,Petrol,Semiautomatic,21965
Peugeot 2008,Peugeot,2017,4,20706,Petrol,Manual,9827
Peugeot 2008,Peugeot,2018,3,23691,Petrol,Manual,13990
Peugeot 2008,Peugeot,2018,3,10843,Petrol,Manual,10795
Peugeot 208,Peugeot,2018,3,30518,Petrol,Manual,9295
Peugeot 208,Peugeot,2020,1,2900,Petrol,Semiautomatic,22495
Peugeot 208,Peugeot,2019,2,17100,Petrol,Manual,10495
Peugeot 208,Peugeot,2016,5,23670,Petrol,Manual,8499
Peugeot 208,Peugeot,2020,1,9620,Petrol,Manual,16295
Peugeot 208,Peugeot,2020,1,5366,Petrol,Manual,15495
Peugeot 208,Peugeot,2019,2,9352,Petrol,Manual,11490
Peugeot 208,Peugeot,2015,6,20500,Petrol,Manual,8200
Peugeot 508,Peugeot,2019,2,8004,Diesel,Manual,18990
Peugeot 508,Peugeot,2019,2,17218,Petrol,Semiautomatic,19990
Peugeot 508,Peugeot,2019,2,8280,Petrol,Semiautomatic,20094
Peugeot 3008,Peugeot,2018,3,17300,Petrol,Semiautomatic,22980
Peugeot 3008,Peugeot,2019,2,9571,Petrol,Manual,25290
Peugeot 3008,Peugeot,2019,2,22485,Petrol,Manual,24995
Peugeot 3008,Peugeot,2018,3,21171,Petrol,Semiautomatic,23995
